Month-Year,Rail Station Name,NLC,Month Name (Travel Date),Calendar Year (Travel Date),Count of Taps
2018-04,Acton Town,500,April,2018,474401
2018-04,Liverpool Street LU,634,April,2018,5430831
2018-04,London Bridge LU,635,April,2018,5542162
2018-04,Loughton,636,April,2018,273324
2018-04,Maida Vale,637,April,2018,246979
2018-04,Manor House,638,April,2018,663545
2018-04,Bank,513,April,2018,3270993
2018-04,Mansion House,639,April,2018,504365
2018-04,Marble Arch,640,April,2018,1046058
2018-04,Marylebone LU,641,April,2018,1047387
2018-04,Leytonstone,633,April,2018,831901
2018-04,Mile End,642,April,2018,1077208
2018-04,Moor Park,646,April,2018,63696
2018-04,Moorgate,645,April,2018,1821214
2018-04,Morden,647,April,2018,813328
2018-04,Mornington Crescent,648,April,2018,340641
2018-04,Neasden,649,April,2018,272452
2018-04,Newbury Park,650,April,2018,410500
2018-04,Balham LU,512,April,2018,1062154
2018-04,North Acton,653,April,2018,445262
2018-04,North Ealing,654,April,2018,57557
2018-04,Mill Hill East,643,April,2018,52194
2018-04,Leyton,632,April,2018,972458
2018-04,Leicester Square,631,April,2018,2792598
2018-04,Latimer Road,630,April,2018,178907
2018-04,Hounslow Central,611,April,2018,302300
2018-04,Hounslow East,612,April,2018,312964
2018-04,Hounslow West,613,April,2018,275317
2018-04,Hyde Park Corner,614,April,2018,469808
2018-04,Ickenham,615,April,2018,86692
2018-04,Kennington,616,April,2018,424143
2018-04,Barking,514,April,2018,1439255
2018-04,Kensal Green,617,April,2018,198986
2018-04,Kensington Olympia,618,April,2018,228961
2018-04,Kentish Town,619,April,2018,597994
2018-04,Kenton,620,April,2018,152715
2018-04,Kew Gardens,621,April,2018,318677
2018-04,Kilburn,622,April,2018,643056
2018-04,Kilburn Park,623,April,2018,268210
2018-04,Kings Cross LU (Tube),625,April,2018,2620234
2018-04,Kingsbury,624,April,2018,379969
2018-04,Knightsbridge,626,April,2018,1377350
2018-04,Ladbroke Grove,627,April,2018,440137
2018-04,Barbican,501,April,2018,802548
2018-04,Lambeth North,628,April,2018,302620
2018-04,Lancaster Gate,629,April,2018,500646
2018-04,North Greenwich,789,April,2018,1879290
2018-04,Hornchurch,610,April,2018,174411
2018-04,North Harrow,656,April,2018,143952
2018-04,Northfields,655,April,2018,301417
2018-04,Ravenscourt Park,682,April,2018,219770
2018-04,Rayners Lane,683,April,2018,307636
2018-04,Redbridge,684,April,2018,227025
2018-04,Regents Park,685,April,2018,301934
2018-04,Arnos Grove,509,April,2018,363393
2018-04,Rickmansworth,687,April,2018,175852
2018-04,Roding Valley,688,April,2018,15674
2018-04,Royal Oak,690,April,2018,187014
2018-04,Ruislip,691,April,2018,148264
2018-04,Queensway,681,April,2018,703290
2018-04,Ruislip Gardens,692,April,2018,84783
2018-04,Russell Square,694,April,2018,892705
2018-04,Seven Sisters,698,April,2018,1423975
2018-04,Shepherds Bush LU,700,April,2018,1682969
2018-04,Shepherds Bush Market,775,April,2018,262943
2018-04,Sloane Square,702,April,2018,1219073
2018-04,Archway,508,April,2018,655917
2018-04,Snaresbrook,703,April,2018,193878
2018-04,South Ealing,704,April,2018,273185
2018-04,South Harrow,707,April,2018,172661
2018-04,Ruislip Manor,693,April,2018,143481
2018-04,Queensbury,679,April,2018,333945
2018-04,Queens Park,680,April,2018,421310
2018-04,Putney Bridge,678,April,2018,417189
2018-04,Northolt,657,April,2018,389833
2018-04,Northwick Park,660,April,2018,318548
2018-04,Northwood,661,April,2018,198891
2018-04,Northwood Hills,662,April,2018,145171
2018-04,Notting Hill Gate,663,April,2018,1236684
2018-04,Baker Street,511,April,2018,2268668
2018-04,Oakwood,664,April,2018,214386
2018-04,Old Street,665,April,2018,1951950
2018-04,Osterley,667,April,2018,167622
2018-04,Oval,668,April,2018,559953
2018-04,Oxford Circus,669,April,2018,6078866
2018-04,Paddington LU,670,April,2018,3699264
2018-04,Park Royal,671,April,2018,152843
2018-04,Parsons Green,672,April,2018,470835
2018-04,Perivale,673,April,2018,195144
2018-04,Piccadilly Circus,674,April,2018,3250777
2018-04,Pimlico,776,April,2018,824154
2018-04,Arsenal,510,April,2018,298632
2018-04,Pinner,675,April,2018,223806
2018-04,Plaistow,676,April,2018,460161
2018-04,Preston Road,677,April,2018,267760
2018-04,North Wembley,659,April,2018,125105
2018-04,Holloway Road,609,April,2018,504510
2018-04,Holland Park,608,April,2018,285843
2018-04,Holborn,607,April,2018,2398531
2018-04,Chorleywood,546,April,2018,49092
2018-04,Clapham Common,547,April,2018,778631
2018-04,Clapham North,548,April,2018,507982
2018-04,Clapham South,549,April,2018,650520
2018-04,Cockfosters,550,April,2018,159109
2018-04,Colindale,551,April,2018,548522
2018-04,Colliers Wood,552,April,2018,523817
2018-04,Covent Garden,553,April,2018,1395910
2018-04,Bermondsey,787,April,2018,809731
2018-04,Chiswick Park,545,April,2018,163413
2018-04,Croxley,554,April,2018,82348
2018-04,Dagenham Heathway,556,April,2018,466533
2018-04,Debden,557,April,2018,179859
2018-04,Dollis Hill,558,April,2018,308444
2018-04,Ealing Broadway,560,April,2018,1323600
2018-04,Ealing Common,561,April,2018,241109
2018-04,Earls Court,562,April,2018,1512270
2018-04,East Acton,563,April,2018,317114
2018-04,East Finchley,565,April,2018,517250
2018-04,East Ham,566,April,2018,1090915
2018-04,Dagenham East,555,April,2018,226640
2018-04,Chigwell,544,April,2018,38726
2018-04,Chesham,543,April,2018,86986
2018-04,Bethnal Green LU,520,April,2018,1159964
2018-04,Bond Street,524,April,2018,2819313
2018-04,Borough,525,April,2018,432710
2018-04,Boston Manor,526,April,2018,167101
2018-04,Bounds Green,527,April,2018,485815
2018-04,Bow Road,528,April,2018,422248
2018-04,Brent Cross,529,April,2018,184369
2018-04,Brixton LU,778,April,2018,2484919
2018-04,Bromley-by-Bow,530,April,2018,201050
2018-04,Buckhurst Hill,531,April,2018,172644
2018-04,Blackfriars LU,521,April,2018,951225
2018-04,Burnt Oak,532,April,2018,337903
2018-04,Caledonian Road,534,April,2018,429347
2018-04,Camden Town,535,April,2018,1791777
2018-04,Canada Water,788,April,2018,1068232
2018-04,Canary Wharf LU (E1),852,April,2018,3249490
2018-04,Canning Town,884,April,2018,1097449
2018-04,Cannon Street  LU,536,April,2018,627664
2018-04,Canons Park,537,April,2018,230876
2018-04,Chalfont & Latimer,539,April,2018,87378
2018-04,Chalk Farm,540,April,2018,399977
2018-04,Chancery Lane,541,April,2018,1279776
2018-04,Belsize Park,519,April,2018,435407
2018-04,East Putney,567,April,2018,450557
2018-04,Eastcote,564,April,2018,211723
2018-04,Edgware,568,April,2018,385515
2018-04,Gunnersbury,591,April,2018,409976
2018-04,Hainault,592,April,2018,291790
2018-04,Hammersmith C&H,773,April,2018,757566
2018-04,Hammersmith D&P,593,April,2018,2110017
2018-04,Hampstead,594,April,2018,338780
2018-04,Hanger Lane,595,April,2018,291691
2018-04,Harlesden,596,April,2018,236416
2018-04,Barons Court,516,April,2018,508591
2018-04,Harrow & Wealdstone,597,April,2018,375853
2018-04,Harrow-on-the-Hill,598,April,2018,833717
2018-04,Hatton Cross,779,April,2018,257417
2018-04,Heathrow Terminal 4 LU,781,April,2018,189819
2018-04,Heathrow Terminal 5 LU,783,April,2018,390268
2018-04,Heathrow Terminals 123 LU,780,April,2018,677345
2018-04,Hendon Central,601,April,2018,533018
2018-04,High Barnet,602,April,2018,307033
2018-04,High Street Kensington,605,April,2018,935617
2018-04,Highbury & Islington,603,April,2018,1476444
2018-04,Highgate,604,April,2018,410369
2018-04,Barkingside,515,April,2018,120065
2018-04,Hillingdon,606,April,2018,130481
2018-04,Greenford,589,April,2018,345634
2018-04,South Kensington,708,April,2018,2587006
2018-04,Green Park,590,April,2018,2975955
2018-04,Grange Hill,587,April,2018,49134
2018-04,Edgware Road B,774,April,2018,359959
2018-04,Edgware Road C&H,569,April,2018,521028
2018-04,Elephant & Castle,570,April,2018,1466783
2018-04,Elm Park,571,April,2018,246164
2018-04,Embankment,542,April,2018,1695672
2018-04,Epping,572,April,2018,282311
2018-04,Euston LU,574,April,2018,2608210
2018-04,Euston Square,575,April,2018,825546
2018-04,Becontree,518,April,2018,270520
2018-04,Fairlop,576,April,2018,93608
2018-04,Farringdon,577,April,2018,1807646
2018-04,Finchley Central,578,April,2018,344971
2018-04,Finchley Road,579,April,2018,726843
2018-04,Finsbury Park LU,580,April,2018,1728648
2018-04,Fulham Broadway,581,April,2018,720572
2018-04,Gants Hill,582,April,2018,517489
2018-04,Gloucester Road,583,April,2018,1098852
2018-04,Golders Green,584,April,2018,620939
2018-04,Goldhawk Road,585,April,2018,155831
2018-04,Goodge Street,586,April,2018,524969
2018-04,Bayswater,517,April,2018,362483
2018-04,Great Portland Street,588,April,2018,597207
2018-04,South Kenton,709,April,2018,56527
2018-04,Blackhorse Road,522,April,2018,722742
2018-04,Totteridge,730,April,2018,187466
2018-04,Theydon Bois,725,April,2018,73060
2018-04,Angel,507,April,2018,1331638
2018-04,Upton Park,739,April,2018,789530
2018-04,Westminster,761,April,2018,2186743
2018-04,Sudbury Town,721,April,2018,132430
2018-04,Wanstead,743,April,2018,218067
2018-04,West Brompton,755,April,2018,376335
2018-04,Upney,738,April,2018,201463
2018-04,Tooting Bec,726,April,2018,609791
2018-04,Southwark,784,April,2018,1219748
2018-04,White City,764,April,2018,641948
2018-04,Victoria LU,741,April,2018,4483957
2018-04,Southgate,706,April,2018,417636
2018-04,Whitechapel,763,April,2018,1040412
2018-04,Upminster Bridge,737,April,2018,75620
