id,latitude,longitude,NLC,name,display_name,zone,total_lines,rail
1,51.5028,-0.2801,500,Acton Town,Acton<br />Town,3,2,0
2,51.5143,-0.0755,502,Aldgate,NULL,1,2,0
3,51.5154,-0.0726,503,Aldgate East,Aldgate<br />East,1,2,0
4,51.5107,-0.013,,All Saints,All<br />Saints,2,1,0
5,51.5407,-0.2997,505,Alperton,NULL,4,1,0
7,51.5322,-0.1058,507,Angel,NULL,1,1,0
8,51.5653,-0.1353,508,Archway,NULL,2.5,1,0
9,51.6164,-0.1331,509,Arnos Grove,Arnos<br />Grove,4,1,0
10,51.5586,-0.1059,510,Arsenal,NULL,2,1,0
11,51.5226,-0.1571,511,Baker Street,Baker<br />Street,1,5,0
12,51.4431,-0.1525,512,Balham LU,NULL,3,1,1
13,51.5133,-0.0886,513,Bank and Monument,NULL,1,4,0
14,51.5204,-0.0979,501,Barbican,NULL,1,3,0
15,51.5396,0.081,514,Barking,NULL,4,2,1
16,51.5856,0.0887,515,Barkingside,NULL,5,1,0
17,51.4905,-0.2139,516,Barons Court,Barons<br />Court,2,2,0
18,51.5121,-0.1879,517,Bayswater,NULL,1,2,0
19,51.5148,0.0613,,Beckton,NULL,3,1,0
20,51.5087,0.055,,Beckton Park,Beckton<br />Park,3,1,0
21,51.5403,0.127,518,Becontree,NULL,5,1,0
22,51.5504,-0.1642,519,Belsize Park,Belsize<br />Park,2,1,0
24,51.527,-0.0549,520,Bethnal Green LU,Bethnal<br />Green,2,1,0
25,51.512,-0.1031,521,Blackfriars LU,NULL,1,2,0
26,51.5867,-0.0417,522,Blackhorse Road,Blackhorse<br />Road,3,1,1
27,51.5079,-0.0066,,Blackwall,NULL,2,1,0
28,51.5142,-0.1494,524,Bond Street,Bond<br />Street,1,2,0
29,51.5011,-0.0943,525,Borough,NULL,1,1,0
30,51.4956,-0.325,526,Boston Manor,Boston<br />Manor,4,1,0
31,51.6071,-0.1243,527,Bounds Green,Bounds<br />Green,3.5,1,0
32,51.5273,-0.0208,,Bow Church,Bow<br />Church,2,3,0
33,51.5269,-0.0247,528,Bow Road,Bow<br />Road,2,2,0
34,51.5766,-0.2136,529,Brent Cross,Brent<br />Cross,3,1,0
36,51.5248,-0.0119,530,Bromley-by-Bow,NULL,2.5,2,0
38,51.6028,-0.2641,532,Burnt Oak,Burnt<br />Oak,4,1,0
39,51.5481,-0.1188,534,Caledonian Road,Caledonian<br />Road,2,1,0
40,51.5392,-0.1426,535,Camden Town,Camden<br />Town,2,1,0
42,51.5051,-0.0209,852,Canary Wharf LU,Canary<br />Wharf,2,2,0
44,51.5113,-0.0904,536,Cannon Street LU,Cannon<br />Street,1,2,0
45,51.6078,-0.2947,537,Canons Park,Canons<br />Park,5,1,0
47,51.5441,-0.1538,540,Chalk Farm,Chalk<br />Farm,2,1,0
48,51.5185,-0.1111,541,Chancery Lane,Chancery<br />Lane,1,1,0
49,51.508,-0.1247,718,Charing Cross LU,Charing<br />Cross,1,2,1
51,51.6177,0.0755,544,Chigwell,NULL,5,1,0
52,51.4946,-0.2678,545,Chiswick Park,Chiswick<br />Park,3,1,0
54,51.4618,-0.1384,547,Clapham Common,Clapham<br />Common,2,1,0
55,51.4649,-0.1299,548,Clapham North,Clapham<br />North,2,1,0
56,51.4527,-0.148,549,Clapham South,Clapham<br />South,2.5,1,0
58,51.5955,-0.2502,551,Colindale,NULL,4,1,0
59,51.418,-0.1778,552,Colliers Wood,Colliers<br />Wood,3,1,0
60,51.5129,-0.1243,553,Covent Garden,Covent<br />Garden,1,1,0
61,51.4957,-0.0144,,Crossharbour,Crossharbour &<br />London Arena,2,1,0
63,51.5095,0.0276,,Custom House,Custom<br />House,3,1,0
65,51.5085,0.064,,Cyprus,NULL,3,1,0
66,51.5443,0.1655,555,Dagenham East,Dagenham<br />East,5,1,0
67,51.5417,0.1469,556,Dagenham Heathway,Dagenham<br />Heathway,5,1,0
70,51.5223,-0.0173,,Devons Road,Devons<br />Road,2,1,0
71,51.552,-0.2387,558,Dollis Hill,Dollis<br />Hill,3,1,0
72,51.5152,-0.3017,560,Ealing Broadway,Ealing<br />Broadway,3,2,1
73,51.5101,-0.2882,561,Ealing Common,Ealing<br />Common,3,2,0
74,51.492,-0.1973,562,Earl's Court,Earl's<br />Court,1.5,2,0
75,51.5765,-0.397,564,Eastcote,NULL,5,2,0
76,51.5168,-0.2474,563,East Acton,East<br />Acton,2,1,0
77,51.5874,-0.165,565,East Finchley,East<br />Finchley,3,1,0
78,51.5394,0.0518,566,East Ham,East<br />Ham,3.5,2,0
