,NLC,Station
0,500,Acton Town
1,502,Aldgate
2,503,Aldgate East
3,505,Alperton
4,506,Amersham
5,507,Angel
6,508,Archway
7,509,Arnos Grove
8,510,Arsenal
9,511,Baker Street
10,512,Balham LU
11,513,Bank and Monument
12,501,Barbican
13,514,Barking
14,515,Barkingside
15,516,Barons Court
16,517,Bayswater
17,518,Becontree
18,519,Belsize Park
19,787,Bermondsey
20,520,Bethnal Green LU
21,521,Blackfriars LU
22,522,Blackhorse Road
23,524,Bond Street
24,525,Borough
25,526,Boston Manor
26,527,Bounds Green
27,528,Bow Road
28,529,Brent Cross
29,778,Brixton LU
30,530,Bromley-by-Bow
31,531,Buckhurst Hill
32,532,Burnt Oak
33,534,Caledonian Road
34,535,Camden Town
35,788,Canada Water
36,852,Canary Wharf LU
37,884,Canning Town
38,536,Cannon Street LU
39,537,Canons Park
40,539,Chalfont & Latimer
41,540,Chalk Farm
42,541,Chancery Lane
43,718,Charing Cross LU
44,543,Chesham
45,544,Chigwell
46,545,Chiswick Park
47,546,Chorleywood
48,547,Clapham Common
49,548,Clapham North
50,549,Clapham South
51,550,Cockfosters
52,551,Colindale
53,552,Colliers Wood
54,553,Covent Garden
55,554,Croxley
56,555,Dagenham East
57,556,Dagenham Heathway
58,557,Debden
59,558,Dollis Hill
60,560,Ealing Broadway
61,561,Ealing Common
62,562,Earl's Court
63,563,East Acton
64,565,East Finchley
65,566,East Ham
66,567,East Putney
67,564,Eastcote
68,568,Edgware
69,774,Edgware Road (Bak)
70,569,Edgware Road (DIS)
71,570,Elephant & Castle LU
72,571,Elm Park
73,542,Embankment
74,572,Epping
75,574,Euston LU
76,575,Euston Square
77,576,Fairlop
78,577,Farringdon
79,578,Finchley Central
80,579,Finchley Road
81,580,Finsbury Park
82,581,Fulham Broadway
83,582,Gants Hill
84,583,Gloucester Road
85,584,Golders Green
86,585,Goldhawk Road
87,586,Goodge Street
88,587,Grange Hill
89,588,Great Portland Street
90,590,Green Park
91,589,Greenford
92,591,Gunnersbury
93,592,Hainault
94,593,Hammersmith (DIS)
95,773,Hammersmith (H&C)
96,594,Hampstead
97,595,Hanger Lane
98,596,Harlesden
99,597,Harrow & Wealdstone
100,598,Harrow-on-the-Hill
101,779,Hatton Cross
102,781,Heathrow Terminal 4 LU
103,783,Heathrow Terminal 5 LU
104,780,Heathrow Terminals 123 LU
105,601,Hendon Central
106,602,High Barnet
107,605,High Street Kensington
108,603,Highbury & Islington
109,604,Highgate
110,606,Hillingdon
111,607,Holborn
112,608,Holland Park
113,609,Holloway Road
114,610,Hornchurch
115,611,Hounslow Central
116,612,Hounslow East
117,613,Hounslow West
118,614,Hyde Park Corner
119,615,Ickenham
120,616,Kennington
121,617,Kensal Green
122,618,Kensington (Olympia)
123,619,Kentish Town
124,620,Kenton
125,621,Kew Gardens
126,622,Kilburn
127,623,Kilburn Park
128,625,King's Cross St. Pancras
129,624,Kingsbury
130,626,Knightsbridge
131,627,Ladbroke Grove
132,628,Lambeth North
133,629,Lancaster Gate
134,630,Latimer Road
135,631,Leicester Square
136,632,Leyton
137,633,Leytonstone
